Sat 02/16/2019 18:55:59.63 Initial tracert (trace route) to www.google.com  

Tracing route to www.google.com [216.58.194.196]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2    49 ms    14 ms    <1 ms  10.1.27.1 
  3    44 ms    43 ms    47 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     4 ms    17 ms     5 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5    59 ms    45 ms    59 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    21 ms    24 ms    23 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    70 ms    35 ms    23 ms  108.170.243.1 
  8    65 ms    65 ms    64 ms  108.170.237.105 
  9    30 ms    22 ms    21 ms  sfo03s01-in-f196.1e100.net [216.58.194.196] 

Trace complete.
Sat 02/16/2019 18:56:33.92 Pinging www.google.com  
Sat 02/16/2019 18:56:34.96 Pinging www.google.com  
Sat 02/16/2019 18:56:36.00 Pinging www.google.com  
Sat 02/16/2019 18:56:37.05 Pinging www.google.com  
Sat 02/16/2019 18:56:38.10 Pinging www.google.com  
Sat 02/16/2019 18:56:39.15 Pinging www.google.com  
Sat 02/16/2019 18:56:40.20 Pinging www.google.com  
Sat 02/16/2019 18:56:41.24 Pinging www.google.com  
Sat 02/16/2019 18:56:42.33 Pinging www.google.com  
Sat 02/16/2019 18:56:43.37 Pinging www.google.com  
Sat 02/16/2019 18:56:44.42 Pinging www.google.com  
Sat 02/16/2019 18:56:45.47 Pinging www.google.com  
Sat 02/16/2019 18:56:46.51 Pinging www.google.com  
Sat 02/16/2019 18:56:47.59 Pinging www.google.com  
Sat 02/16/2019 18:56:48.63 Pinging www.google.com  
Sat 02/16/2019 18:56:49.69 Pinging www.google.com  
Sat 02/16/2019 18:56:50.74 Pinging www.google.com  
Sat 02/16/2019 18:56:51.84 Pinging www.google.com  
Sat 02/16/2019 18:56:52.88 Pinging www.google.com  
Sat 02/16/2019 18:56:53.93 Pinging www.google.com  
Sat 02/16/2019 18:56:54.98 Pinging www.google.com  
Sat 02/16/2019 18:56:56.04 Pinging www.google.com  
Sat 02/16/2019 18:56:57.08 Pinging www.google.com  
Sat 02/16/2019 18:56:58.12 Pinging www.google.com  
Sat 02/16/2019 18:56:59.16 Pinging www.google.com  
Sat 02/16/2019 18:57:00.21 Pinging www.google.com  
