Sat 02/16/2019 17:44:37.25 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [216.58.192.4]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     4 ms     3 ms    <1 ms  10.1.27.1 
  3    33 ms     2 ms     1 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     2 ms     2 ms     2 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5     5 ms     4 ms     4 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    20 ms    20 ms    21 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    22 ms    22 ms    22 ms  108.170.242.241 
  8    52 ms    48 ms    50 ms  108.170.237.147 
  9    38 ms    24 ms    23 ms  nuq04s29-in-f4.1e100.net [216.58.192.4] 

Trace complete.
Sat 02/16/2019 17:45:11.22 Pinging www.google.com 
Sat 02/16/2019 17:45:12.27 Pinging www.google.com 
Sat 02/16/2019 17:45:13.31 Pinging www.google.com 
Sat 02/16/2019 17:45:14.41 Pinging www.google.com 
Sat 02/16/2019 17:45:15.45 Pinging www.google.com 
Sat 02/16/2019 17:45:16.52 Pinging www.google.com 
Sat 02/16/2019 17:45:17.56 Pinging www.google.com 
Sat 02/16/2019 17:45:18.61 Pinging www.google.com 
Sat 02/16/2019 17:45:19.65 Pinging www.google.com 
Sat 02/16/2019 17:45:20.70 Pinging www.google.com 
Sat 02/16/2019 17:45:21.76 Pinging www.google.com 
Sat 02/16/2019 17:45:22.81 Pinging www.google.com 
Sat 02/16/2019 17:45:23.85 Pinging www.google.com 
Sat 02/16/2019 17:45:24.90 Pinging www.google.com 
Sat 02/16/2019 17:45:25.94 Pinging www.google.com 
Sat 02/16/2019 17:45:27.01 Pinging www.google.com 
Sat 02/16/2019 17:45:28.06 Pinging www.google.com 
Sat 02/16/2019 17:45:29.15 Pinging www.google.com 
Sat 02/16/2019 17:45:30.19 Pinging www.google.com 
Sat 02/16/2019 17:45:31.24 Pinging www.google.com 
Sat 02/16/2019 17:45:32.29 Pinging www.google.com 
Sat 02/16/2019 17:45:33.34 Pinging www.google.com 
Sat 02/16/2019 17:45:34.38 Pinging www.google.com 
Sat 02/16/2019 17:45:35.42 Pinging www.google.com 
Sat 02/16/2019 17:45:36.47 Pinging www.google.com 
Sat 02/16/2019 17:45:37.51 Pinging www.google.com 
